Using 1 / 48 threads
370105 Total words
 15920 length 5 words
  4198 duplicate 5 words
  5977 unique 5 letter words
Thread 0 found 538 solutions:
    ambry, fldxt, pucks, vejoz, whing,
    burez, fldxt, jocks, vying, whamp,
    burga, fldxt, nymph, swick, vejoz,
    burgs, chimp, fldxt, vejoz, wanky,
    burgs, fldxt, mawky, pinch, vejoz,
    burgs, fldxt, nicky, vejoz, whamp,
    burny, chawk, fldxt, gimps, vejoz,
    burny, chimp, fldxt, gawks, vejoz,
    burny, fldxt, gamps, vejoz, whick,
    burns, chawk, fldxt, gimpy, vejoz,
    burns, chimp, fldxt, gawky, vejoz,
    burps, chawk, fldxt, mingy, vejoz,
    burps, ching, fldxt, mawky, vejoz,
    burps, fldxt, mangy, vejoz, whick,
    burps, fldxt, mckay, vejoz, whing,
    burps, fldxt, micky, vejoz, whang,
    busky, champ, fldxt, vejoz, wring,
    busky, chawn, fldxt, grimp, vejoz,
    busky, chimp, fldxt, vejoz, wrang,
    busky, ching, fldxt, vejoz, wramp,
    busky, cramp, fldxt, vejoz, whing,
    busky, crimp, fldxt, vejoz, whang,
    busky, fldxt, gramp, vejoz, winch,
    carby, fldxt, ginks, vejoz, whump,
    carvy, fldxt, jinks, uzbeg, whomp,
    cawky, fldxt, griph, numbs, vejoz,
    cawky, fldxt, pings, rhumb, vejoz,
    champ, fldxt, rugby, swink, vejoz,
    chang, fldxt, jimpy, uzbek, vrows,
    chang, fldxt, jowpy, mirvs, uzbek,
    chank, fldxt, jimpy, uzbeg, vrows,
    chank, fldxt, jowpy, mirvs, uzbeg,
    chawk, fldxt, ginzo, jumpy, verbs,
    chawk, fldxt, ginzo, jumps, verby,
    chawk, fldxt, gripy, numbs, vejoz,
    chawk, fldxt, gumby, pirns, vejoz,
    chawk, fldxt, jumby, prove, zings,
    chawn, fldxt, gumby, skirp, vejoz,
    chawn, fldxt, rugby, skimp, vejoz,
    chaws, fldxt, gumby, prink, vejoz,
    cheng, fldxt, jimpy, uzbak, vrows,
    cheng, fldxt, jowpy, mirvs, uzbak,
    chimb, expwy, fjord, klutz, vangs,
    chimb, fldxt, gawky, snurp, vejoz,
    chimb, fldxt, gunky, vejoz, warps,
    chimb, fldxt, parky, swung, vejoz,
    chimb, fldxt, pawky, rungs, vejoz,
    chimb, fldxt, pungy, vejoz, warks,
    chimb, fldxt, pungs, rawky, vejoz,
    chimb, fldxt, sprug, vejoz, wanky,
    chimp, fldxt, gawby, knurs, vejoz,
    chimp, fldxt, gowns, jarvy, uzbek,
    chimp, fldxt, jarvy, knows, uzbeg,
    chimp, fldxt, quawk, verbs, zygon,
    chimp, fldxt, rugby, swank, vejoz,
    chink, fldxt, gawby, rumps, vejoz,
    chink, fldxt, gumby, vejoz, warps,
    chink, fldxt, rugby, swamp, vejoz,
    chirk, fldxt, gawby, numps, vejoz,
    chirk, fldxt, gumby, pawns, vejoz,
    chirm, fldxt, gawby, punks, vejoz,
    chirm, fldxt, jowpy, uzbek, vangs,
    chirp, fldxt, gawky, numbs, vejoz,
    chirp, fldxt, gumby, swank, vejoz,
    chivw, enzym, fldxt, jakob, sprug,
    chivw, expdt, flamb, grosz, junky,
    chivw, expdt, flank, grosz, jumby,
    chivw, expdt, furzy, jambs, klong,
    chivw, expdt, jumby, klong, zarfs,
    chivw, fjord, glaky, muntz, pbxes,
    chivw, fjord, klutz, mangy, pbxes,
    chivw, fldxt, gazer, jumby, knops,
    chivw, fldxt, gazon, jumby, perks,
    chivw, fldxt, gazon, jumpy, kerbs,
    chivw, fldxt, gerbo, jumps, knyaz,
    chivw, fldxt, grype, junks, zambo,
    chivw, fldxt, grosz, jambe, punky,
    chivw, fldxt, grosz, jumby, knape,
    chivw, fldxt, jambs, puker, zygon,
    chivw, fldxt, jerky, pungs, zambo,
    chivw, fldxt, jerks, pungy, zambo,
    chivw, fldxt, jumba, perks, zygon,
    chivw, fldxt, jumby, karez, spong,
    chomp, fldxt, jarvy, swing, uzbek,
    chomp, fldxt, jarvy, swink, uzbeg,
    chomp, fldxt, quawk, verby, zings,
    chomp, fldxt, quawk, verbs, zingy,
    chowk, fldxt, jambe, supvr, zingy,
    chowk, fldxt, jumby, parve, zings,
    chowk, fldxt, jumby, prize, vangs,
    chowk, fldxt, jumpy, verbs, zigan,
    chowk, fldxt, jumps, verby, zigan,
    chubs, fldxt, grimp, vejoz, wanky,
    chump, fldxt, gawby, kirns, vejoz,
    chump, fldxt, jakob, wyver, zings,
    chums, fldxt, gawby, prink, vejoz,
    chunk, fldxt, gawby, prims, vejoz,
    churm, fldxt, gawby, pinks, vejoz,
    churn, fldxt, gawby, skimp, vejoz,
    comps, fldxt, jarvy, uzbek, whing,
    crank, fldxt, gumby, vejoz, whips,
    crawm, fldxt, qophs, uzbek, vying,
    cribs, fldxt, gunky, vejoz, whamp,
    cribs, fldxt, kyang, vejoz, whump,
    cribs, fldxt, nymph, quawk, vejoz,
    crimp, fldxt, gawby, hunks, vejoz,
    crink, fldxt, gawby, humps, vejoz,
    crink, fldxt, gumby, pshaw, vejoz,
    crips, fldxt, gumby, vejoz, whank,
    crumb, fldxt, gipsy, vejoz, whank,
    crumb, fldxt, hawky, pings, vejoz,
    crumb, fldxt, kaphs, vejoz, wingy,
    crumb, fldxt, kyang, vejoz, whips,
    crumb, fldxt, nighs, pawky, vejoz,
    crumb, fldxt, pisky, vejoz, whang,
    crump, fldxt, gawby, knish, vejoz,
    crwth, gambs, kylix, pfund, vejoz,
    curby, fldxt, gimps, vejoz, whank,
    curby, fldxt, ginks, vejoz, whamp,
    curby, fldxt, skimp, vejoz, whang,
    curbs, fldxt, gimpy, vejoz, whank,
    dhikr, expwy, fultz, gconv, jambs,
    dumbs, fritz, gconv, japyx, whelk,
    dwarf, glyph, jocks, muntz, vibex,
    evang, fldxt, jumby, qophs, wrick,
    expdt, furzy, gconv, jambs, whilk,
    expdt, gconv, jumby, whilk, zarfs,
    exptl, fconv, gawby, hdqrs, mujik,
    exptl, gconv, hdqrs, jumby, kafiz,
    exptl, gconv, hdqrs, jumby, wakif,
    expwy, flack, hdqrs, jumbo, vingt,
    expwy, flock, hdqrs, jumba, vingt,
    fangy, hdqrs, plumb, twick, vejoz,
    fcomp, gawby, hdqrs, klutz, vixen,
    fcomp, gunky, hdqrs, vibex, waltz,
    fcomp, hdqrs, junky, vibex, waltz,
    fjord, glyph, muntz, swack, vibex,
    fjord, gucks, nymph, vibex, waltz,
    flack, hdqrs, jowpy, muntz, vibex,
    flamb, hdqrs, pungy, twick, vejoz,
    fldxt, gawby, jumps, kench, vizor,
    fldxt, gawby, mirks, punch, vejoz,
    fldxt, gawby, munch, skirp, vejoz,
    fldxt, gawby, murks, pinch, vejoz,
    fldxt, gawby, murph, nicks, vejoz,
    fldxt, gawks, nymph, urbic, vejoz,
    fldxt, gazon, jumpy, verbs, whick,
    fldxt, gazon, jumps, verby, whick,
    fldxt, gconv, hawks, jumby, prize,
    fldxt, gconv, herbs, jimpy, quawk,
    fldxt, gconv, jerky, sabzi, whump,
    fldxt, gconv, jerky, saqib, whump,
    fldxt, gconv, jerky, squib, whamp,
    fldxt, gconv, jerky, squiz, whamp,
    fldxt, gconv, jimpy, shrew, uzbak,
    fldxt, gconv, jizya, kerbs, whump,
    fldxt, gconv, jumby, karez, whips,
    fldxt, gibus, nymph, vejoz, wrack,
    fldxt, gimps, jarvy, nowch, uzbek,
    fldxt, ginzo, jacky, verbs, whump,
    fldxt, ginzo, jacks, verby, whump,
    fldxt, ginzo, jumby, pshav, wreck,
    fldxt, given, jumby, qophs, wrack,
    fldxt, gnaws, picky, rhumb, vejoz,
    fldxt, graph, numbs, vejoz, wicky,
    fldxt, grapy, numbs, vejoz, whick,
    fldxt, grimp, quawk, synch, vejoz,
    fldxt, gryph, jambs, quick, woven,
    fldxt, gryph, manqu, swick, vejoz,
    fldxt, gryph, minbu, swack, vejoz,
    fldxt, gryph, njave, quick, wombs,
    fldxt, grosz, jumby, paven, whick,
    fldxt, grown, jimpy, schav, uzbek,
    fldxt, gumby, hicks, prawn, vejoz,
    fldxt, gumby, nicks, vejoz, wharp,
    fldxt, gumby, njave, qophs, wrick,
    fldxt, gumby, parch, swink, vejoz,
    fldxt, gumby, parks, vejoz, winch,
    fldxt, gumby, pinch, vejoz, warks,
    fldxt, gumby, pinks, vejoz, warch,
    fldxt, gumby, prick, shawn, vejoz,
    fldxt, jacko, verby, whump, zings,
    fldxt, jacko, verbs, whump, zingy,
    fldxt, jambe, qophs, vicky, wrung,
    fldxt, jambe, supvr, whick, zygon,
    fldxt, jarvy, mowch, pings, uzbek,
    fldxt, jarvy, mowch, pinks, uzbeg,
    fldxt, jarvy, nicks, uzbeg, whomp,
    fldxt, jarvy, nowch, skimp, uzbeg,
    fldxt, jerky, vocab, whump, zings,
    fldxt, jerks, vocab, whump, zingy,
    fldxt, jocks, verby, whump, zigan,
    fldxt, johns, uzbeg, vicky, wramp,
    fldxt, jumba, qophs, vying, wreck,
    fldxt, jumba, qophs, wreck, zingy,
    fldxt, jumby, navig, qophs, wreck,
    fldxt, jumby, pecks, vizor, whang,
    fldxt, jumby, pecks, voraz, whing,
    fldxt, jumby, qophs, wreck, zigan,
    fldxt, jumbo, pshav, wreck, zingy,
    fldxt, kumbi, psych, vejoz, wrang,
    fldxt, mawks, pinch, rugby, vejoz,
    fldxt, namby, sprug, vejoz, whick,
    fldxt, nicks, rugby, vejoz, whamp,
    fldxt, nymph, quags, vejoz, wrick,
    fldxt, nymph, squab, vejoz, wrick,
    fldxt, nymph, squib, vejoz, wrack,
    fldxt, packs, rhumb, vejoz, wingy,
    fldxt, pangs, rhumb, vejoz, wicky,
    fldxt, quack, verby, whomp, zings,
    fldxt, quack, verbs, whomp, zingy,
    fldxt, quick, verbs, whamp, zygon,
    flock, hdqrs, jumpy, twang, vibex,
    flong, japyx, twick, verbs, zhmud,
    flong, jarvy, pbxes, twick, zhmud,
    flowk, hdqrs, imcnt, japyx, uzbeg,
    frack, jowly, pbxes, vingt, zhmud,
    frock, japyx, seqwl, vingt, zhmud,
    frowl, jacky, pbxes, vingt, zhmud,
    fultz, jacky, mordv, pbxes, whing,
    glack, hdqrs, jowpy, muntz, vibex,
Solutions: 538   
Threads with solutions: 1
0:17 = 17 seconds (17786 ms)
Using 2 / 48 threads
370105 Total words
 15920 length 5 words
  4198 duplicate 5 words
  5977 unique 5 letter words
Thread 0 found 538 solutions:
    ambry, fldxt, pucks, vejoz, whing,
    ambry, fldxt, pungs, vejoz, whick,
    ampyx, bejig, fconv, hdqrs, klutz,
    ampyx, bewig, fconv, hdqrs, klutz,
    ampyx, bortz, chivw, fjeld, gunks,
    ampyx, crwth, fdubs, glink, vejoz,
    ampyx, flung, hdqrs, twick, vejoz,
    angry, bumph, fldxt, swick, vejoz,
    angry, bumps, fldxt, vejoz, whick,
    avick, benjy, fldxt, grosz, whump,
    backy, fldxt, girns, vejoz, whump,
    backy, fldxt, grump, vejoz, whins,
    backy, fldxt, humps, vejoz, wring,
    backy, fldxt, murph, swing, vejoz,
    backy, fldxt, rumps, vejoz, whing,
    backs, fldxt, girny, vejoz, whump,
    backs, fldxt, grump, vejoz, whiny,
    backs, fldxt, humpy, vejoz, wring,
    backs, fldxt, murph, vejoz, wingy,
    backs, fldxt, rumpy, vejoz, whing,
    baken, chivw, fldxt, grosz, jumpy,
    baker, chivw, fldxt, jumps, zygon,
    bangy, crump, fldxt, vejoz, whisk,
    bangy, fldxt, humps, vejoz, wrick,
    bangy, fldxt, murph, swick, vejoz,
    bangy, fldxt, ricks, vejoz, whump,
    bangy, fldxt, rumps, vejoz, whick,
    bangy, flump, hdqrs, twick, vejoz,
    bangs, fldxt, humpy, vejoz, wrick,
    bangs, fldxt, murph, vejoz, wicky,
    bangs, fldxt, ricky, vejoz, whump,
    bangs, fldxt, rumpy, vejoz, whick,
    banky, crump, fldxt, vejoz, whigs,
    banks, fldxt, gyric, vejoz, whump,
    bargh, fldxt, numps, vejoz, wicky,
    barky, chimp, fldxt, swung, vejoz,
    barky, chump, fldxt, swing, vejoz,
    barks, chump, fldxt, vejoz, wingy,
    barks, fldxt, gynic, vejoz, whump,
    barms, fldxt, pungy, vejoz, whick,
    bawke, fldxt, gconv, jimpy, qursh,
    bawke, fultz, gconv, hdqrs, jimpy,
    becky, fldxt, jumps, vizor, whang,
    becky, fldxt, jumps, voraz, whing,
    becks, fldxt, ginzo, jarvy, whump,
    becks, fldxt, jumpy, vizor, whang,
    becks, fldxt, jumpy, voraz, whing,
    becks, fldxt, rajiv, whump, zygon,
    becks, frowl, japyx, vingt, zhmud,
    becks, fultz, japyx, mordv, whing,
    behav, fldxt, jumps, wrick, zygon,
    bejan, fldxt, grosz, vicky, whump,
    bejig, chump, fldxt, knyaz, vrows,
    bejig, fldxt, knyaz, mowch, supvr,
    bejig, fldxt, nymph, quack, vrows,
    bemix, fultz, gconv, hdqrs, pawky,
    bench, fldxt, gawky, jumps, vizor,
    bench, fldxt, gawks, jumpy, vizor,
    bench, fldxt, grosz, jimpy, quawk,
    benjy, chawk, fldxt, gizmo, supvr,
    benjy, chimp, fldxt, grosz, quawk,
    benjy, chowk, fldxt, gramp, squiz,
